,L,88529067,,,,1327936500,,,
,,384041,36059,5010,266,2805488,46464,164,1
,,Beam on L = 894233,,,,Beam off  L = 13413500,,,
,,M1,M2,M3,M4,M1,M2,M3,M4
0,26688,3855,352,60,2,28633,502,0,0
1,26426,3787,360,58,4,28369,452,1,0
2,26564,3786,378,55,2,28494,495,2,0
3,26468,3805,348,56,3,28462,453,2,0
4,26414,3920,373,50,1,27881,493,3,0
5,26519,3788,351,38,5,28327,476,3,0
6,26562,3918,381,58,1,28288,439,2,0
7,26640,3924,399,48,1,28512,469,2,0
8,26511,3808,364,47,3,28383,514,0,0
9,26489,3915,374,48,3,28309,465,2,0
10,26669,3957,353,58,5,28417,450,1,0
11,26309,3821,356,42,2,28044,501,0,0
12,26223,3760,380,43,3,28172,484,1,0
13,26546,3808,391,52,2,28468,461,2,0
14,26769,3936,390,59,5,28577,462,3,0
15,26601,3928,366,52,2,28471,481,0,0
16,26599,3853,390,60,4,28431,477,1,0
17,26845,3934,388,52,2,28561,469,3,0
18,26638,3957,381,45,2,28273,474,2,0
19,26539,3881,380,50,2,28359,489,1,0
20,26432,3839,366,58,2,28075,464,0,0
21,26728,3939,370,52,5,28551,476,2,0
22,26439,3914,347,46,1,28275,504,1,0
23,26425,3772,379,60,5,28317,449,0,0
24,26556,3851,342,54,2,28469,456,0,0
25,26389,3773,361,46,2,28322,453,3,0
26,26514,3890,347,53,1,28345,441,2,0
27,26574,3750,346,48,1,28599,458,1,1
28,26646,3984,399,57,4,28311,499,0,0
29,26409,3884,360,46,1,28117,469,3,0
30,26505,3912,393,46,2,28209,466,0,0
31,26480,3906,391,51,3,28164,460,1,0
32,26441,3853,364,43,1,28313,494,1,0
33,26655,3969,361,47,2,28327,482,1,0
34,26335,3798,332,52,2,28290,439,0,0
35,26438,3788,326,35,2,28451,476,2,0
36,26568,3958,360,52,4,28325,450,1,0
37,26452,3930,392,49,1,28113,436,1,0
38,26348,3760,361,56,1,28215,503,1,0
39,26676,4003,347,72,6,28365,470,3,0
40,26310,3903,338,53,4,27981,444,2,0
41,26642,3915,364,54,1,28305,481,2,0
42,26663,3955,367,61,4,28266,466,1,0
43,26288,3838,361,50,2,28027,470,2,0
44,26603,3946,366,58,6,28245,515,2,0
45,26431,3813,364,47,3,28329,429,2,0
46,26617,3914,363,60,1,28283,485,3,0
47,26532,3833,377,31,3,28406,437,0,0
48,26662,3890,345,50,6,28226,492,1,0
49,26577,3844,367,52,6,28436,491,2,0
50,26506,3850,355,52,2,28412,448,2,0
51,26542,3886,369,48,3,28451,492,1,0
52,26712,3856,376,50,3,28743,499,2,0
53,26451,3943,340,56,2,28122,438,4,0
54,26537,3984,358,45,3,28217,471,1,0
55,26420,3837,360,45,4,28296,470,3,0
56,26465,3850,357,39,3,28327,461,1,0
57,26780,3902,373,51,1,28591,478,0,0
58,26466,3813,364,37,0,28640,431,1,0
59,26394,3912,349,55,2,28107,512,0,0
60,26327,3861,333,39,2,28174,445,3,0
61,26538,3764,350,41,5,28571,447,1,0
62,26549,3957,366,36,2,28227,469,4,0
63,0,0,0,0,0,0,0,0,0
64,26607,3849,359,58,2,28291,463,4,0
65,26689,3903,344,60,6,28389,477,2,0
66,26608,3964,348,47,1,28380,463,3,0
67,26466,3801,341,53,4,28409,473,1,0
68,26549,3851,364,52,2,28283,447,3,0
69,26610,4012,339,57,1,28490,460,0,0
70,26642,3832,349,58,5,28587,438,2,0
71,26540,3919,322,43,4,28349,491,2,0
72,26479,3953,362,38,1,28426,445,6,0
73,26613,4001,383,55,2,28276,475,2,0
74,26579,3892,367,58,2,28480,460,3,0
75,26410,3798,387,52,2,28371,478,3,0
76,26467,3856,352,60,5,28183,465,3,0
77,26522,3947,382,49,4,28259,450,1,0
78,26458,3833,379,48,5,28192,438,0,0
79,26634,3802,378,49,2,28499,486,1,0
80,26489,3789,402,51,1,28330,480,2,0
81,26375,3857,361,54,2,28243,444,3,0
82,26498,3999,327,45,2,28243,482,3,0
83,26534,3890,358,43,1,28342,466,1,0
84,26716,3997,383,46,2,28420,492,2,0
85,26560,3895,362,45,1,28476,493,3,0
86,26519,3864,364,56,4,28306,477,1,0
87,26577,3972,379,47,3,28275,443,0,0
88,26517,3847,371,46,3,28294,485,2,0
89,26778,3891,395,59,1,28641,455,4,0
90,26598,3949,354,62,4,28296,477,3,0
91,26217,3744,366,45,2,28144,483,1,0
92,26429,3842,374,50,1,28238,479,2,0
93,26456,3885,366,62,2,28042,464,0,0
94,26557,3910,353,47,1,28316,477,0,0
95,26446,3821,353,52,2,28324,451,1,0
96,26577,3809,367,62,3,28484,471,2,0
97,26695,3801,366,36,6,28679,468,2,0
98,26636,3966,358,54,1,28334,484,2,0
99,26578,4020,383,47,6,28231,462,0,0
